vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GF,202036,0.772438347601691,2020,9,0.578125,1.1228813559322033,1.3235294117647058,0.588235294117647,True
MEDIUM LOW,GF,202038,0.772438347601691,2020,9,0.578125,1.1228813559322033,1.4705882352941175,1.176470588235294,True
MEDIUM LOW,GF,202040,0.772438347601691,2020,10,0.578125,1.1228813559322033,1.5294117647058822,0.588235294117647,True
MEDIUM LOW,GF,202043,0.772438347601691,2020,10,0.578125,1.1228813559322033,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GF,202045,0.772438347601691,2020,11,0.578125,1.1228813559322033,1.0,1.176470588235294,True
MEDIUM LOW,GF,202046,0.772438347601691,2020,11,0.578125,1.1228813559322033,0.8529411764705881,0.588235294117647,True
MEDIUM LOW,GF,202047,0.772438347601691,2020,11,0.578125,1.1228813559322033,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GF,202049,0.772438347601691,2020,12,0.578125,1.1228813559322033,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,GF,202050,0.772438347601691,2020,12,0.578125,1.1228813559322033,1.176470588235294,1.176470588235294,True
MEDIUM LOW,GF,202053,0.772438347601691,2020,12,0.578125,1.1228813559322033,0.9117647058823527,1.176470588235294,True
MEDIUM LOW,GF,202101,0.772438347601691,2021,1,0.578125,1.1228813559322033,1.2941176470588236,0.588235294117647,True
MEDIUM LOW,GF,202103,0.772438347601691,2021,1,0.578125,1.1228813559322033,0.6470588235294118,0.588235294117647,True
MEDIUM LOW,GF,202105,0.772438347601691,2021,2,0.578125,1.1228813559322033,0.41176470588235287,0.588235294117647,True
MEDIUM LOW,GF,202107,0.772438347601691,2021,2,0.578125,1.1228813559322033,1.8235294117647058,1.176470588235294,True
MEDIUM LOW,GF,202108,0.772438347601691,2021,2,0.578125,1.1228813559322033,2.7647058823529407,1.176470588235294,True
MEDIUM LOW,GF,202109,0.772438347601691,2021,3,0.578125,1.1228813559322033,2.2941176470588234,1.176470588235294,True
