vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
LOW END,JF,1.3978232131468804,2020,50,1.09375,1.0106382978723405,0.6111111111111113,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2020,51,1.09375,1.0106382978723405,0.5555555555555556,1.1111111111111112,True
LOW END,JF,1.3978232131468804,2021,4,1.09375,1.0106382978723405,0.6666666666666667,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2021,7,1.09375,1.0106382978723405,2.333333333333333,1.1111111111111112,True
LOW END,JF,1.3978232131468804,2021,9,1.09375,1.0106382978723405,1.1666666666666667,0.5555555555555556,True
LOW END,JF,1.3978232131468804,2021,11,1.09375,1.0106382978723405,1.8888888888888893,1.1111111111111112,True
LOW END,JG,1.8491158123249891,2020,3,1.0,1.1446808510638296,0.6111111111111113,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,7,1.0,1.1446808510638298,1.1111111111111112,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,8,1.0,1.14468085106383,0.4444444444444445,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,9,1.0,0.9157446808510638,0.5555555555555556,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,14,1.0,1.1446808510638298,0.7222222222222223,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,27,1.0,1.1446808510638298,3.166666666666667,1.1111111111111112,True
LOW END,JG,1.8491158123249891,2020,29,1.0,1.1446808510638298,0.9444444444444445,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,31,1.0,1.1446808510638298,1.8333333333333335,1.1111111111111112,True
LOW END,JG,1.8491158123249891,2020,32,1.0,1.1446808510638298,0.9444444444444445,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,35,1.0,1.1446808510638298,1.4444444444444446,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,37,1.0,1.1446808510638298,1.4444444444444446,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,46,1.0,1.1446808510638298,1.6111111111111112,1.1111111111111112,True
LOW END,JG,1.8491158123249891,2020,49,1.0,1.1446808510638298,0.6666666666666667,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2020,53,1.0,1.1446808510638298,1.1111111111111112,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2021,1,1.0,1.1446808510638298,1.6666666666666667,1.1111111111111112,True
LOW END,JG,1.8491158123249891,2021,4,1.0,1.1446808510638298,0.9444444444444445,0.5555555555555556,True
LOW END,JG,1.8491158123249891,2021,6,1.0,1.1446808510638296,0.6111111111111113,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,20,0.984375,1.0638297872340425,1.1111111111111112,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,24,0.984375,1.0638297872340425,0.3888888888888889,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,32,0.984375,1.0638297872340425,0.7222222222222223,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,37,0.984375,1.0638297872340425,0.2777777777777778,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,43,0.984375,1.0638297872340425,0.3888888888888889,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,49,0.984375,1.0638297872340425,1.2222222222222225,0.5555555555555556,True
LOW END,JH,2.048088659506443,2020,53,0.984375,1.0638297872340425,0.4444444444444445,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,4,1.0,1.1989361702127659,2.166666666666667,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,14,1.0,0.8992021276595744,1.8888888888888893,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,15,1.0,0.8992021276595744,0.8888888888888891,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,17,1.0,0.8992021276595744,0.5555555555555556,0.5555555555555556,True
LOW END,JI,2.0483589628797447,2020,23,1.0,0.9591489361702128,1.6111111111111112,1.1111111111111112,True
LOW END,JI,2.0483589628797447,2020,24,1.0,1.0790425531914896,1.1666666666666667,1.1111111111111112,True
