vehicle_make,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AB,LA,202044,4.116522811344019,2020,10,2.546875,1.2210526315789474,1.3333333333333333,0.6666666666666666,True
AB,LA,202048,4.116522811344019,2020,11,2.546875,1.2210526315789474,0.5333333333333333,0.6666666666666666,True
AB,LA,202102,4.116522811344019,2021,1,2.546875,1.2210526315789474,1.5999999999999999,0.6666666666666666,True
AB,LA,202106,4.116522811344019,2021,2,2.546875,1.2210526315789472,1.5333333333333334,0.6666666666666666,True
AB,LA,202108,4.116522811344019,2021,2,2.546875,1.2210526315789474,1.3333333333333333,0.6666666666666666,True
AB,LA,202109,4.116522811344019,2021,3,2.546875,1.2210526315789474,1.4000000000000001,0.6666666666666666,True
AB,LA,202117,4.116522811344019,2021,4,2.546875,1.2210526315789472,1.2000000000000004,0.6666666666666666,False
AB,AQ,201951,0.21434862477666775,2019,12,0.21875,1.0315789473684212,0.4666666666666666,0.6666666666666666,True
AB,AQ,202007,0.21434862477666775,2020,2,0.21875,1.0315789473684212,1.2666666666666666,0.6666666666666666,True
AB,AQ,202027,0.21434862477666775,2020,6,0.21875,1.131578947368421,1.2666666666666666,0.6666666666666666,True
AB,AQ,202039,0.21434862477666775,2020,9,0.21875,1.131578947368421,1.2,0.6666666666666666,True
AB,AQ,202048,0.21434862477666775,2020,11,0.21875,1.131578947368421,1.2,0.6666666666666666,True
AB,LB,202025,0.4441858124260802,2020,6,2.375,0.968421052631579,0.7999999999999999,0.6666666666666666,True
AB,LB,202048,0.4441858124260802,2020,11,2.375,0.968421052631579,0.5333333333333333,0.6666666666666666,True
AB,LE,201952,4.092193227475947,2019,12,2.59375,1.0473684210526315,0.9333333333333332,0.6666666666666666,True
AB,LE,202010,4.092193227475947,2020,3,2.59375,0.7855263157894735,1.4666666666666668,0.6666666666666666,True
AB,LE,202012,4.092193227475947,2020,3,2.59375,0.7855157894736842,0.3333333333333333,0.6666666666666666,True
AB,LE,202025,4.092193227475947,2020,6,2.59375,1.1526315789473685,1.0666666666666667,0.6666666666666666,True
AB,LE,202034,4.092193227475947,2020,8,2.59375,1.1526315789473685,0.9333333333333332,0.6666666666666666,True
AB,LE,202041,4.092193227475947,2020,10,2.59375,1.1526315789473682,1.666666666666667,0.6666666666666666,True
AB,LE,202044,4.092193227475947,2020,10,2.59375,1.1526315789473682,1.4000000000000004,0.6666666666666666,True
AB,LE,202045,4.092193227475947,2020,11,2.59375,1.1526315789473685,2.6,1.3333333333333333,True
AB,LF,202104,0.2659352273585143,2021,1,0.859375,0.7578947368421053,0.6,0.6666666666666666,True
AB,LG,201952,4.077220530629021,2019,12,2.578125,1.1578947368421053,0.4666666666666666,0.6666666666666666,True
AB,LG,202001,4.077220530629021,2020,1,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202002,4.077220530629021,2020,1,2.578125,1.1578947368421053,1.2,0.6666666666666666,True
AB,LG,202003,4.077220530629021,2020,1,2.578125,1.1578947368421053,2.266666666666667,2.6666666666666665,True
AB,LG,202005,4.077220530629021,2020,1,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202011,4.077220530629021,2020,3,2.578125,1.1578947368421053,1.0666666666666667,0.6666666666666666,True
AB,LG,202014,4.077220530629021,2020,4,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202015,4.077220530629021,2020,4,2.578125,1.1578947368421053,0.7999999999999999,0.6666666666666666,True
AB,LG,202019,4.077220530629021,2020,5,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202020,4.077220530629021,2020,5,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202021,4.077220530629021,2020,5,2.578125,1.1578947368421053,0.4666666666666666,0.6666666666666666,True
AB,LG,202022,4.077220530629021,2020,5,2.578125,1.1578947368421053,3.1999999999999997,2.0,True
AB,LG,202028,4.077220530629021,2020,7,2.578125,1.1578947368421053,2.6,1.3333333333333333,True
AB,LG,202031,4.077220530629021,2020,7,2.578125,1.1578947368421053,0.5333333333333333,0.6666666666666666,True
AB,LG,202033,4.077220530629021,2020,8,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202034,4.077220530629021,2020,8,2.578125,1.1578947368421053,1.2666666666666666,0.6666666666666666,True
AB,LG,202035,4.077220530629021,2020,8,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202036,4.077220530629021,2020,8,2.578125,1.157894736842105,1.9333333333333336,0.6666666666666666,True
AB,LG,202044,4.077220530629021,2020,10,2.578125,1.1578947368421053,1.3333333333333333,0.6666666666666666,True
AB,LG,202046,4.077220530629021,2020,11,2.578125,1.1578947368421053,1.2,0.6666666666666666,True
AB,LG,202048,4.077220530629021,2020,11,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LG,202049,4.077220530629021,2020,11,2.578125,1.1578947368421053,1.3333333333333333,0.6666666666666666,True
AB,LG,202049,4.077220530629021,2020,12,2.578125,1.157894736842105,3.6,1.3333333333333333,True
AB,LG,202053,4.077220530629021,2020,12,2.578125,1.1578947368421053,2.3333333333333335,1.3333333333333333,True
AB,LG,202104,4.077220530629021,2021,1,2.578125,1.1578947368421053,0.9333333333333332,0.6666666666666666,True
AB,LH,202007,3.69191893773539,2020,2,2.5625,0.9600000000000002,0.9333333333333332,0.6666666666666666,True
AB,LH,202027,3.69191893773539,2020,7,2.5625,0.96,1.9333333333333336,0.6666666666666666,True
AB,LH,202034,3.69191893773539,2020,8,2.5625,0.96,2.066666666666667,0.6666666666666666,True
AB,LH,202041,3.69191893773539,2020,10,2.5625,0.9600000000000002,1.2,0.6666666666666666,True
AB,LI,202006,4.000260030029274,2020,2,2.578125,1.0526315789473684,1.2666666666666666,0.6666666666666666,True
AB,LI,202013,4.000260030029274,2020,3,2.578125,1.0526315789473684,1.4000000000000001,1.3333333333333333,True
AB,LI,202019,4.000260030029274,2020,5,2.578125,1.0526315789473684,0.5333333333333333,0.6666666666666666,True
AB,LI,202020,4.000260030029274,2020,5,2.578125,1.0526315789473684,2.1333333333333333,1.3333333333333333,True
AB,LI,202021,4.000260030029274,2020,5,2.578125,1.0526315789473684,0.9333333333333332,0.6666666666666666,True
